Results from TFPIP Version 1.0

Instruction file = pkg-ins.txt
Data file          = pkg-dta.txt

Fisher Index Numbers

These Indices are Transitive


INDICES RELATIVE TO FIRST OBSERVATION:

 obsn    output     input       TFP
   1    1.0000    1.0000    1.0000
   2    1.0000    1.0763    0.9291
   3    1.0000    1.2611    0.7929
   4    1.0000    1.1498    0.8697
   5    1.0000    1.0595    0.9439
   6    1.0000    1.0985    0.9103
   7    1.0000    0.9552    1.0469
   8    1.0000    1.1516    0.8684
   9    1.0000    1.0313    0.9696
  10    1.0000    0.8777    1.1393
  11    1.0000    0.4053    2.4675
  12    1.0000    1.1130    0.8985
  13    1.0000    0.9086    1.1006
  14    1.0000    1.0707    0.9340
  15    1.0000    1.1739    0.8518
  16    1.0000    1.1938    0.8377
  17    1.0000    1.2480    0.8013
  18    1.0000    0.9724    1.0284
  19    1.0000    0.9813    1.0191
  20    1.0000    0.9767    1.0238
  21    1.0000    1.1146    0.8972
  22    1.0000    1.4608    0.6846
  23    1.0000    1.4328    0.6979
  24    1.0000    1.1823    0.8458
  25    1.0000    0.6317    1.5830
  26    1.0000    1.2555    0.7965
  27    1.0000    0.7438    1.3444
  28    1.0000    1.2427    0.8047
  29    1.0000    1.0802    0.9258
  30    1.0000    1.5545    0.6433
  31    1.0000    1.1604    0.8617
  32    1.0000    0.9841    1.0161
  33    1.0000    1.0565    0.9465
  34    1.0000    0.9662    1.0350
  35    1.0000    0.7007    1.4271
  36    1.0000    1.2136    0.8240
  37    1.0000    1.0304    0.9705
  38    1.0000    1.1875    0.8421
  39    1.0000    1.5693    0.6372
  40    1.0000    0.6680    1.4969
  41    1.0000    1.0235    0.9770
  42    1.0000    1.0697    0.9348
  43    1.0000    1.2442    0.8037
  44    1.0000    0.9339    1.0708
  45    1.0000    1.3687    0.7306
  46    1.0000    0.5959    1.6781
  47    1.0000    1.1415    0.8760
  48    1.0000    1.1078    0.9027
  49    1.0000    1.0855    0.9212
  50    1.0000    1.0765    0.9289
  51    1.0000    0.7707    1.2976
  52    1.0000    0.5249    1.9052
  53    1.0000    0.9053    1.1046
  54    1.0000    1.1500    0.8696
  55    1.0000    1.4542    0.6877
  56    1.0000    0.9220    1.0846
  57    1.0000    1.0782    0.9274
  58    1.0000    0.9455    1.0576
  59    1.0000    1.1130    0.8985
  60    1.0000    1.0937    0.9144
  61    1.0000    0.7077    1.4130
  62    1.0000    1.0578    0.9454
  63    1.0000    1.2697    0.7876
  64    1.0000    1.0172    0.9831
  65    1.0000    0.9965    1.0035
  66    1.0000    1.1799    0.8476
  67    1.0000    0.9409    1.0629
  68    1.0000    1.2471    0.8019
  69    1.0000    1.3758    0.7269
  70    1.0000    0.8340    1.1990
  71    1.0000    1.3871    0.7209
  72    1.0000    1.3905    0.7192
  73    1.0000    1.1956    0.8364
  74    1.0000    0.9318    1.0732
  75    1.0000    1.3593    0.7357
  76    1.0000    0.9674    1.0337
  77    1.0000    1.4193    0.7046
  78    1.0000    0.9979    1.0021
  79    1.0000    0.9069    1.1027
  80    1.0000    1.1337    0.8820
  81    1.0000    1.1358    0.8804
  82    1.0000    1.2832    0.7793
  83    1.0000    0.9784    1.0220
  84    1.0000    0.9942    1.0059
  85    1.0000    1.5533    0.6438
  86    1.0000    1.0463    0.9558
  87    1.0000    0.9225    1.0840
  88    1.0000    1.2635    0.7914
  89    1.0000    0.9733    1.0274
  90    1.0000    1.3063    0.7655
  91    1.0000    1.0984    0.9104
  92    1.0000    1.1465    0.8722
  93    1.0000    1.0826    0.9237
  94    1.0000    1.0474    0.9548
  95    1.0000    1.0134    0.9868
  96    1.0000    1.0544    0.9484
  97    1.0000    0.7872    1.2703
  98    1.0000    1.2703    0.7872
  99    1.0000    1.2374    0.8082
 100    1.0000    0.5921    1.6889
